Week_Folder,Filename,Row_Count,Columns_Present,File_Path,Notes
Week_of_2026-01-26,Results_2026-01-28_Greenhouse_CoS_Remote.txt,26,N/A (plain text),/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-28_Greenhouse_CoS_Remote.txt,Not CSV - plain text results
Week_of_2026-01-26,Results_2026-01-28_LinkedIn_BD_Remote.txt,29,N/A (plain text),/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-28_LinkedIn_BD_Remote.txt,Not CSV - plain text results
Week_of_2026-01-26,Results_2026-01-28_LinkedIn_CoS_Remote_24hr.txt,29,N/A (plain text),/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-28_LinkedIn_CoS_Remote_24hr.txt,Not CSV - plain text results
Week_of_2026-01-26,Results_2026-01-29_Greenhouse_CoS_Remote.txt,14,N/A (plain text),/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-29_Greenhouse_CoS_Remote.txt,Not CSV - plain text results
Week_of_2026-01-26,Results_2026-01-29_Lever_CoS_Remote.txt,36,N/A (plain text),/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-29_Lever_CoS_Remote.txt,Not CSV - plain text results
Week_of_2026-01-26,Results_2026-01-29_Multi-Board_All-Roles_Multi-Location.csv,68,Platform | Search_Title | Search_Location | Results_Count | Job_Title | Company | Location | Posting_Date | URL | Salary,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-29_Multi-Board_All-Roles_Multi-Location.csv,OK
Week_of_2026-01-26,Results_2026-01-30_Greenhouse_Partnerships_Remote_Scored.csv,8,Company | Job Title | Location | Salary | Job Summary | URL | Fit Score | Score Rationale,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-30_Greenhouse_Partnerships_Remote_Scored.csv,OK
Week_of_2026-01-26,Results_2026-01-30_LinkedIn_CoS_Remote.csv,5,Job Title | Company Name | Location | Salary | Company Sector | Posted Time | Years of Experience Required,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-01-26/Results_2026-01-30_LinkedIn_CoS_Remote.csv,OK
Week_of_2026-02-01,Results_2026-02-01_Joey-Clark_Multi-Board_CoS-Partnerships_Scored.csv,25,Score | Company | Job_Title | Location | Salary | Sector | Summary | URL | Score_Rationale | Found_On,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-02-01/Results_2026-02-01_Joey-Clark_Multi-Board_CoS-Partnerships_Scored.csv,OK
Week_of_2026-02-01,Results_2026-02-01_Phil-Tassi_Multi-Board_London-DC_Scored.csv,60,Board | Region | Rank | Company | Role | Location | Sector | Salary | Score | Job Summary | Reason Ranked | URL,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-02-01/Results_2026-02-01_Phil-Tassi_Multi-Board_London-DC_Scored.csv,OK
Week_of_2026-02-02,Master_List_2026-02-02.csv,18,Status | Score | Score_Rationale | Company | Job_Title | Sector | Location | Language_Requirement | Work_Arrangement | Salary_USD | Job_Summary | URL | Found_On,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-02-02/Master_List_2026-02-02.csv,OK
Week_of_2026-02-02,Top10_New_2026-02-02.csv,10,Status | Score | Score_Rationale | Company | Job_Title | Sector | Location | Language_Requirement | Work_Arrangement | Salary_USD | Job_Summary | URL | Found_On,/Users/jc3/GitHub/ai-automation-portfolio/results/Week_of_2026-02-02/Top10_New_2026-02-02.csv,OK
