"Status","Score","Score_Rationale","Company","Job_Title","Sector","Location","Language_Requirement","Work_Arrangement","Salary_USD","Job_Summary","URL","URL_Status","Found_On"
"NEW","90","Near-perfect fit: TMT L/S equity at a premier single-manager hedge fund. Mentorship and state-of-the-art infrastructure. Aaron's software/TMT expertise and ~9 years experience make him an ideal candidate. Salary unknown but likely top-tier.","Selby Jennings (Recruiter)","L/S Equity Analyst - TMT (Premier Single Manager HF)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Premier single-manager hedge fund seeking L/S equity analyst covering TMT with ~5 years experience. Deep fundamental research, mentorship from senior PMs, and state-of-the-art research infrastructure. Recruiter-posted via Selby Jennings.","https://www.selbyjennings.com/en-us/job/ls-equity-analyst-opportunity-at-premier-single-manager-pr553872_1753120509","Verified","LinkedIn, Selby Jennings"
"NEW","85","Excellent fit: $20B+ multi-strat HF expanding L/S equity team. TMT among available subsectors matches Aaron's coverage. Blends traditional research with data science. NYC location ideal. Salary unknown.","Selby Jennings (Recruiter)","L/S Fundamental Equities Analyst (Multiple Subsectors)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Multi-strategy hedge fund with $20B+ AUM seeking equity research analyst to expand L/S equity team. Sectors include TMT, Industrials, Energy, Financials, Consumer, or Healthcare. Blends traditional research with cutting-edge data science and technology.","https://www.selbyjennings.com/en-us/job/ls-fundamental-equites-analyst-multiple-subsectors-pr541471_1744397809","Verified","LinkedIn, Selby Jennings"
"NEW","85","Strong fit: premier HF fundamental L/S equity role with 7-figure comp upside. Values intellectual curiosity, work ethic, and creativity—aligns with Aaron's analyst ranking and research track record. NYC location ideal.","Selby Jennings (Recruiter)","L/S Equity Analyst (Fundamental Research)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Premier hedge fund seeking fundamental L/S equity analyst. Values intellectual curiosity, work ethic, passion for equity markets, and creativity. Competitive salary with 7-figure total compensation upside.","https://www.selbyjennings.com/en-us/job/ls-equity-analyst-pr546243_1747779027","Verified","LinkedIn, Selby Jennings"
"NEW","83","Excellent sector fit: fundamental L/S equity at Rockefeller's HF strategy. Multi-sector with low net exposure and asymmetric risk/reward focus. Greenwich CT is in target geography. Research skills directly applicable.","VantageRock Capital","Equity Analyst - Long/Short Equity","Hedge Fund","Greenwich, CT","N/A","In-Office","N/A","Fundamental-based, U.S. focused, multi-sector long/short equity hedge fund strategy within Rockefeller Asset Management. Conduct in-depth fundamental research on companies and industries. Low net exposure with asymmetric risk/reward focus. 2-4+ years experience required.","https://www.ziprecruiter.com/Jobs/Long-Short-Equity-Hedge-Fund","Unverified","ZipRecruiter, eFinancialCareers"
"NEW","83","Strong fit: senior equity research leadership at $50B+ systematic HF. Managing and mentoring analysts mirrors Aaron's mentoring experience at JMP Securities. Top-tier compensation expected at Two Sigma.","Two Sigma","Senior Fundamental Equity Research Analyst","Hedge Fund","New York, NY","N/A","Hybrid","N/A","Senior role managing fundamental equity research analysts at $50B+ systematic hedge fund. Translate company and sector insights into scalable alpha. Enforce strong research process, mentor junior analysts. Collaborate with quantitative researchers and data scientists.","https://careers.twosigma.com/careers/JobDetail/New-York-New-York-United-States-Senior-Fundamental-Equity-Research-Analyst/6688","Verified","Company Careers"
"NEW","83","Strong coverage fit: deep fundamental research on public internet companies globally. Internet coverage is adjacent to Aaron's software expertise. Financial modeling and investment idea generation align well with current skills.","Selby Jennings (Recruiter)","Equity Research Analyst - Internet Focus","Hedge Fund","New York, NY","N/A","In-Office","N/A","Equity research analyst conducting deep fundamental research and financial modeling on public internet companies globally. Generating actionable investment ideas for portfolio management team. Buy-side hedge fund role via recruiter.","https://www.selbyjennings.com/en-us/job/equity-research-analyst-internet-focus-pr545493_1747675893","Verified","LinkedIn, Selby Jennings"
"NEW","78","Good fit: direct equity financial analyst role at Steve Cohen's Point72. NYC/Stamford locations in target cities. 1+ years requirement suggests entry/mid-level but direct buy-side opportunity. Point72 compensation known to be competitive.","Point72","Equity Financial Analyst - US","Hedge Fund","New York, NY / Stamford, CT / Chicago, IL","N/A","In-Office","N/A","Equity financial analyst at Steve Cohen's multi-billion dollar hedge fund. Requires 1+ years in equity research, investment banking, hedge fund, investment management, or PE. Strong financial modeling and business analysis skills required. Available in NYC, Stamford, and Chicago.","https://careers.point72.com/CSJobDetail?jobName=equity-financial-analyst-us&jobCode=LSI-0000006","Verified","Company Careers"
"NEW","76","Moderate fit: prestigious buy-side training program at Point72 leading to L/S equity analyst role. Academy structure may feel like a step down for VP-level candidate, but provides direct entry to elite HF platform.","Point72","Academy Investment Analyst Program (Experienced Professionals)","Hedge Fund","New York, NY","N/A","In-Office","N/A","10-month paid training program at Point72 designed for experienced professionals transitioning to buy-side. Prepares candidates for L/S equity financial analyst roles. Includes intensive training and mentorship. Over 190 graduates since 2015, some now portfolio managers.","https://job-boards.greenhouse.io/point72/jobs/7909101002","Verified","Greenhouse, Company Careers"
"NEW","75","Good fit: L/S equity HF role with strong seniority match (5-10 yrs). Healthcare Services is outside Aaron's TMT expertise, but fundamental research methodology and financial modeling skills transfer well.","Selby Jennings (Recruiter)","Investment Analyst - Healthcare Services (L/S Equity)","Hedge Fund","New York, NY","N/A","In-Office","N/A","L/S equity hedge fund seeking investment analyst with 5-10 years Healthcare Services experience. Conduct in-depth fundamental research, develop detailed financial models and valuation analyses. NYC-based via recruiter.","https://www.selbyjennings.com/en-us/job/investment-analyst-healthcare-services-ls-equity-pr535853_1741119549","Verified","LinkedIn, Selby Jennings"
"NEW","75","Moderate fit: buy-side L/S equity research at Alger supporting PM. Healthcare sector differs from TMT but research methodology aligns. 3+ years experience requirement is below Aaron's seniority. NYC location ideal.","Alger","Equity Research Analyst - Healthcare L/S Equity","Asset Management","New York, NY","N/A","In-Office","N/A","Equity research analyst supporting Long/Short Equity Portfolio Manager at Alger with focus on Healthcare sector. Buy-side fundamental research role. Minimum 3+ years analyst experience required, preferably on buy side.","https://www.linkedin.com/jobs/view/equity-research-analyst-healthcare-l-s-equity-at-alger-3711174637","Unverified","LinkedIn"
