"Status","Score","Score_Rationale","Company","Job_Title","Sector","Location","Language_Requirement","Work_Arrangement","Salary_USD","Job_Summary","URL","Found_On"
"NEW","93","Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; Strong fintech sector fit; Enterprise-level negotiations match deal pipeline experience","Affirm","Strategic Partnerships Manager - New Partnerships","Fintech/BNPL","Remote - US","N/A","Remote-US","N/A","Leading, negotiating, and executing complex enterprise-level partnerships to increase Affirm distribution and ubiquity with merchants and consumers. Remote-first company.","https://boards.greenhouse.io/affirm/jobs/4363155003","Greenhouse"
"NEW","91","Partnerships role aligns with Anzu BD experience; Fintech sector strong fit (JPM/SVB background); Portfolio management of partners mirrors Anzu portfolio company management","Affirm","Strategic Partnerships Lead","Fintech/BNPL","Remote - US","N/A","Remote-US","N/A","Building program of portfolio management for tier 1 & emerging eCommerce platforms. Experience managing partnerships in payments and eCommerce landscape required.","https://boards.greenhouse.io/affirm/jobs/4468200003","Greenhouse"
"NEW","89","Strategic ops aligns with Anzu/JPM/DoD program management; Fintech/payments strong fit; Mexico City is target location; Spanish requirement matches beginner skills","dLocal","Strategic Operations Manager - Mexico","Fintech/Payments","Mexico City, Mexico","Spanish","Remote-Americas","N/A","Driving operational efficiency, scaling processes, and supporting strategic initiatives across the organization. Remote-first, Mexico-based. Requires 5+ years in operations, experience in payments/fintech/digital banks.","https://jobs.lever.co/dlocal/1b20184f-74e3-419c-992e-68cdbcba4366","Lever"
"NEW","87","Partnerships leadership aligns with Anzu BD and JPM ecosystem dev; Director level matches SVP/VP experience; SaaS/security sector has growth tailwinds","Vanta","Director, Strategic Partnerships (VARs)","Security/SaaS","Remote - US","N/A","Remote-US","N/A","Leading go-to-market strategy across VAR partner segment, building and scaling business with major resellers in security and compliance ecosystem. Director-level leadership role.","https://jobs.ashbyhq.com/vanta/5f83094a-20e4-4e80-aa1d-375470b22bc6","Ashby"
"NEW","87","Partnerships role aligns with Anzu capital formation/BD; Strong fintech/payments sector fit; 10+ year requirement matches experience level; Remote-first","Zip Co","US Senior Manager, Strategic Partnerships","Fintech/BNPL","Remote - US","N/A","Remote-US","N/A","Senior Manager requiring deep understanding of payment partnerships landscape and strong sales/relationship management skills. 10+ years experience, 4+ in leadership within strategy or partnerships. Remote-first with Manhattan office option.","https://boards.greenhouse.io/zipcolimited/jobs/4444684006","Greenhouse"
"NEW","87","Direct CoS match (exec support at Anzu/JPM); Clean energy/industrial sector aligns with defense/industrial experience; In-office NYC limits location flexibility","David Energy","Chief of Staff","Clean Energy/Industrial Tech","New York, NY","N/A","In-Office","N/A","Working directly with CEO to develop and operationalize company strategy as they scale. Clean energy technology company in NYC.","https://jobs.ashbyhq.com/davidenergy/d7383577-462c-44db-9d8e-c88f412be927","Ashby"
"NEW","85","Strategic ops/program management aligns with DoD and Nationwide IDEO engagement; SaaS/security sector solid; Remote culture established since founding","1Password","Senior Manager, Strategic Operations","SaaS/Security","Remote - US/Canada","N/A","Remote-US","N/A","Leading strategic initiatives and operational functions at 1Password. Requires 5-7+ years in strategic operations and program management with proven track record. Remote since 2005.","https://jobs.lever.co/1password/88e64fcd-5f69-457a-bf5c-8163f1654945","Lever"
"NEW","83","Direct CoS match; Strong fintech sector fit; Remote-first culture; Canada-based may require Canadian work authorization","KOHO","Chief of Staff","Fintech","Remote (Canada)","N/A","Remote-Americas","N/A","Chief of Staff at Canadian fintech making financial services better. Remote-first with asynchronous collaboration, flexible hours, high trust culture.","https://jobs.ashbyhq.com/koho/f33f16e6-62fd-4018-91bd-da3aa87a9e67","Ashby"
"NEW","78","CoS match but marketing-focused (less aligned with ops/strategy background); Strong AI sector alignment; Remote-US; Lower salary range","Firecrawl","Marketing Chief of Staff","AI/Developer Tools","Remote - US","N/A","Remote-US","$120,000-$160,000","Marketing Chief of Staff at AI web scraping/data extraction company. $120K-$160K + equity. SF or remote.","https://jobs.ashbyhq.com/firecrawl/d747b598-5d14-4aff-96a5-64b1ea60432c","Ashby"
"NEW","77","Direct CoS match (exec support at Anzu/JPM); Education sector tangential; Board engagement and stakeholder management align with Anzu LP/executive experience","DonorsChoose","Chief of Staff","Education/Nonprofit","Remote - US","N/A","Remote-US","N/A","Bolstering CEO and Executive team success with external relationships, internal communication, and board engagement. Flexible hybrid NYC or fully remote from select US states.","https://boards.greenhouse.io/donorschoose/jobs/6813890002","Greenhouse"
