Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,Found_On
NEW,93,Direct CoS match; AI-powered writing SaaS aligns with AI automation skills (+5 bonus); Remote-first global company with strong culture; Requires scaling operations experience that matches Anzu/JPM background,Grammarly,CEO Chief of Staff,AI/SaaS,Remote - US/Canada,N/A,Remote-US,N/A,"CEO Chief of Staff at AI-powered writing assistant used by 30M people and 30K teams. Remote-first hybrid model across US, Canada, Ukraine, Germany, Poland, and Portugal.",https://boards.greenhouse.io/grammarly/jobs/4064924,Greenhouse
NEW,92,"Direct CoS match; Frontier AI/ML company with $107M funding from NVIDIA, NEA (+5 AI bonus); Cross-functional leadership across Product, Engineering, Sales aligns with Anzu/JPM experience",Twelve Labs,Chief of Staff,AI/ML,Remote-flexible (SF/Seoul),N/A,Remote-US,N/A,"Chief of Staff to CEO at frontier multimodal AI company. Drives operational efficiency, oversees key initiatives. Backed by NVIDIA, NEA, Radical Ventures, Index Ventures.",https://jobs.ashbyhq.com/twelve-labs/e03b4858-af75-4842-8391-e97993c78d91,Ashby
NEW,91,Direct CoS match; Fintech brokerage sector directly matches JPM/SVB banking experience (+5 fintech bonus); Series B with $120M+ raised; Global remote team including Philippines presence,Alpaca,Chief of Staff,Fintech/Brokerage,Remote - Global,N/A,Remote-Global,N/A,"Chief of Staff shaping company growth through strategic initiatives around culture, productivity, and operations. API-first stock and crypto platform with 150+ globally distributed team members.",https://boards.greenhouse.io/alpaca/jobs/5304391004,Greenhouse
NEW,91,Capital formation and investor networks directly match Anzu principal role; AI sector alignment (+5 bonus); Building from ground up matches venture building experience,Sentient,Director of Strategic Partnerships for Capital Markets,AI/Finance,Remote,N/A,Remote-US,N/A,"Building investor networks, conducting market research, organizing events, and supporting ecosystem growth through fundraising and liquidity strategies at AI company.",https://jobs.ashbyhq.com/sentient/f094ae46-87ba-4833-a003-733c05863220,Ashby
NEW,90,Direct CoS match; GovTech/civic tech aligns with DoD program management experience (+5 defense/gov bonus); Strong salary $170K-$240K; Fully remote US,Skylight,Chief of Staff,GovTech/Civic Tech,Remote - US,N/A,Remote-US,$170000-$240000,Chief of Staff reporting to CEO at digital consultancy helping government agencies deliver better public services. Strategic partner in building high-performing organization.,https://boards.greenhouse.io/skylighthq/jobs/4418700005,Greenhouse
NEW,90,Direct CoS match; AI developer tools sector (+5 AI bonus); Business Operations Lead path aligns with operator background; Early-stage high-impact role,Promptfoo,Chief of Staff / Business Operations Lead,AI/Developer Tools,Remote,N/A,Remote-US,N/A,Chief of Staff and Business Operations Lead at AI evaluation and testing platform. Working directly with leadership to scale operations.,https://jobs.ashbyhq.com/promptfoo/a092c899-7a22-44b5-ad4a-0c2309b1b328,Ashby
NEW,88,Direct CoS match; LegalTech/SaaS at $3.2B valuation; CEO Communications component aligns with executive support experience; Strong salary $192K-$240K,Ironclad,Chief of Staff & CEO Communications,LegalTech/SaaS,San Francisco CA,N/A,Hybrid,$192000-$240000,Partners with CEO to shape company narrative and drive strategic priorities. Hybrid role combining exec communications with operational leadership at $3.2B contract management platform.,https://jobs.ashbyhq.com/ironcladhq/fc9f71e8-3e1f-41d0-b33d-573cf8cafe6b,Ashby
NEW,87,Direct CoS match; Fintech/auto lending aligns with financial services background (+5 fintech bonus); CEO partnership role; 25% travel includes DC meetings,Caribou,Chief of Staff,Fintech/Auto,Chicago IL (Hybrid),N/A,Hybrid,N/A,Chief of Staff partnering with CEO and senior leadership. Cross-functional impact and efficiency. Backed by QED Investors and Goldman Sachs.,https://boards.greenhouse.io/caribou/jobs/6063843003,Greenhouse
NEW,85,Direct CoS match; Nonprofit/social justice sector is tangential but CEO partnership role directly aligns; Cross-functional collaboration matches operator experience,Tides Network,Chief of Staff,Nonprofit/Social Justice,Remote,N/A,Remote-US,N/A,Chief of Staff working closely with CEO facilitating collaboration among Executive Team at nonprofit committed to advancing social justice.,https://jobs.ashbyhq.com/tides/91babe96-df64-4bd6-a1c6-aeaba11ea2c5,Ashby
NEW,84,Direct CoS match; Operations focus aligns with program management experience; Scaling teams and embedding AI aligns with AI automation skills; Remote-first culture building,32Co,Chief of Staff (Operations),Health Tech/Dental,Remote,N/A,Remote-Global,N/A,"Chief of Staff (Operations) helping shape, scale, and strengthen teams. Building remote-first culture, embedding AI, supporting new market launches.",https://jobs.lever.co/32Co/5bdbe964-55df-452c-a9af-66f6b27aeeeb,Lever
